,Name,Price (in Rs),Rating
0,"realme C25Y (Metal Grey, 64 GB)","10,999",4.5
1,"realme Narzo 50A (Oxygen Green, 128 GB)","12,499",4.4
2,"realme Narzo 50A (Oxygen Blue, 64 GB)","11,499",4.4
3,"realme Narzo 50A (Oxygen Blue, 128 GB)","12,499",4.4
4,"realme Narzo 50A (Oxygen Green, 64 GB)","11,499",4.4
5,"realme C25Y (Metal Grey, 128 GB)","11,999",4.5
6,"realme C25Y (Glacier Blue, 64 GB)","10,999",4.5
7,"realme 8s 5G (Universe Blue, 128 GB)","19,999",4.4
8,"realme 8s 5G (Universe Purple, 128 GB)","19,999",4.4
9,"realme Narzo 50i (Carbon Black, 32 GB)","7,499",4.5
10,"realme Narzo 50i (Mint Green, 32 GB)","7,499",4.5
11,"realme C25Y (Glacier Blue, 128 GB)","11,999",4.5
12,"realme Narzo 50i (Mint Green, 64 GB)","8,999",4.4
13,"realme 8i (Space Purple, 128 GB)","15,999",4.4
14,"realme C25_Y (Glacier Blue, 128 GB)","11,999",4.7
15,"realme C25_Y (Metal Grey, 128 GB)","11,999",4.7
16,"realme 8s 5G (Universe Blue, 128 GB)","17,999",4.4
17,"realme 8i (Space Black, 64 GB)","13,999",4.5
18,"realme C21Y (Cross Black, 64 GB)","9,999",4.5
19,"realme C21Y (Cross Blue, 64 GB)","9,999",4.5
20,"realme C21Y (Cross Blue, 32 GB)","8,999",4.5
21,"realme C21Y (Cross Black, 32 GB)","8,999",4.5
22,"realme Narzo 50i (Carbon Black, 64 GB)","8,999",4.4
23,"realme C11 2021 (Cool Grey, 32 GB)","7,499",4.4
24,"realme C11 2021 (Cool Grey, 32 GB)","7,499",4.4
25,"realme C11 2021 (Cool Blue, 32 GB)","7,499",4.4
26,"realme 8i (Space Purple, 64 GB)","13,999",4.5
27,"realme 8i (Space Black, 128 GB)","15,999",4.4
28,"realme 8 (Cyber Black, 128 GB)","16,999",4.4
29,"realme 8 (Cyber Silver, 128 GB)","16,999",4.4
30,"realme 8 (Cyber Black, 128 GB)","17,999",4.4
31,"realme 8 (Cyber Black, 128 GB)","15,999",4.3
32,"realme 8 5G (Supersonic Blue, 64 GB)","15,499",4.3
33,"realme C11 2021 (Cool Grey, 64 GB)","8,999",4.3
34,"realme C11 2021 (Cool Blue, 64 GB)","8,999",4.3
35,"realme 8 5G (Supersonic Black, 128 GB)","18,499",4.3
